gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c,act,at,ch,dltt,ebit,lct,tie,city,invt,emp,cogs
1678,20191231,2019,INDL,C,D,STD,APA,USD,3255,376.063,-2627,-3553,6280,A,25.59,1961,18107,247,8752,-2627,1855,,Houston,502,3.163,4760
1686,20200229,2019,INDL,C,D,STD,APOG,USD,516.778,26.443,87.848,61.914,1387.439,A,32.5,381.91,1128.991,14.952,255.663,87.848,276.857,,Minneapolis,182.012,7.2,1032.38
1690,20190930,2019,INDL,C,D,STD,AAPL,USD,90488,4443.236,63930,55256,260174,A,293.65,162819,338516,48844,91807,63930,105718,,Cupertino,4106,137,149235
1704,20191031,2019,INDL,C,D,STD,AMAT,USD,8214,916,3372,2706,14608,A,61.04,10206,19024,3129,4713,3372,4447,,Santa Clara,3474,22,7859
1706,20190831,2019,INDL,C,D,STD,EPAC,USD,301.179,60.465,76.316,-249.145,654.758,A,26.03,730.325,1124.274,211.151,452.945,76.316,300.401,,Menomonee Falls,77.187,4.7,348.994
1712,20191231,2019,INDL,C,D,STD,TREC,USD,171.154,24.75,13.289,-14.974,258.959,A,7.15,84.09,301.819,6.145,89.433,13.289,28.635,,Sugar Land,15.481,0.27,205.083
1722,20191231,2019,INDL,C,D,STD,ADM,USD,19208,557,1671,1379,64656,A,46.35,21347,43997,852,8453,1671,13734,,Chicago,9170,38.1,59517
1743,20191231,2019,INDL,C,D,STD,ARCB,USD,763.043,25.406,84.392,39.985,2988.31,A,27.6,664.402,1651.207,201.909,318.491,84.392,444.277,,Fort Smith,0,13,2791.452
1773,20191231,2019,INDL,C,D,STD,ARW,USD,4811.919,80.62,957.348,-204.087,28916.847,A,84.74,12526.159,16400.796,300.103,2891.801,957.348,8258.159,,Centennial,3477.12,19.3,25594.266
1794,20190930,2019,INDL,C,D,STD,ASH,USD,3571,60,264,505,2493,A,76.53,1433,7251,232,1501,264,757,,Covington,597,4.7,1513
1823,20191231,2019,INDL,C,D,STD,ATRO,USD,388.857,30.998,50.156,52.017,772.702,A,27.95,343.081,782.716,31.906,211.854,50.156,120.64,,East Aurora,145.787,2.828,569.863
1864,20200131,2019,INDL,C,D,STD,REX,USD,401.007,6.292,-6.773,7.427,418.034,A,81.96,271.135,500.502,179.658,10.688,-6.773,31.599,,Dayton,35.634,0.128,382.542
1878,20200131,2019,INDL,C,D,STD,ADSK,USD,-139.1,219.4,366.8,214.5,3274.3,A,183.46,2659.3,6179.3,1774.7,2046.8,366.8,3219.2,,San Rafael,0,10.1,238.6
1891,20190630,2019,INDL,C,D,STD,ADP,USD,5399.9,434.2,3080.8,2292.8,14175.2,A,170.5,34342.3,41887.7,1949.2,2002.2,3080.8,32627.7,,Roseland,0,58,7677.6
1913,20191231,2019,INDL,C,D,STD,AVY,USD,1204,83.367,823.7,303.6,7070.1,A,130.82,2340.6,5488.8,253.7,1598.2,823.7,2253.8,,Glendale,663,30,4991.4
1919,20190630,2019,INDL,C,D,STD,AVT,USD,4140.473,104.038,611.451,176.337,19518.592,A,42.44,6876.336,8564.556,546.105,1419.922,611.451,2578.576,,Phoenix,3008.424,15.5,16851.648
1926,20200229,2019,INDL,C,D,STD,AZZ,USD,634.366,26.148,107.132,48.234,1061.817,A,45.95,354.562,1073.831,36.687,115.992,107.132,280.613,,Fort Worth,99.841,4.343,784.995
1949,20191231,2019,INDL,C,D,STD,BRT,USD,199.653,15.638,0.528,0.856,28.867,A,16.97,,390.61,22.699,170.071,0.528,,,Great Neck,0,0.013,18.248
1968,20191231,2019,INDL,C,D,STD,BMI,USD,331.068,29.119,62.148,47.177,424.625,A,64.93,200.094,421.893,48.871,,62.148,57.247,,Milwaukee,81.948,1.567,239.228
1979,20191231,2019,INDL,C,D,STD,BCPC,USD,743.667,32.202,104.288,79.671,643.705,A,101.63,254.946,1155.682,65.672,253.396,104.288,92.258,,New Hampton,83.893,1.424,409.902
1982,20191231,2019,INDL,C,D,STD,PTVCB,USD,364.316,14.279,7.029,7.347,493.953,A,16.09,,1634.36,67.851,0.127,7.029,,,Carmel,0,0.5,480.872
1988,20191231,2019,INDL,C,D,STD,BLL,USD,2949,324.635,1176,566,11474,A,64.67,4884,17360,1798,6518,1176,5577,,Westminster,1274,18.3,9203
2002,20191231,2019,INDL,C,D,STD,BPOP,USD,5966.619,95.59,1457.182,671.135,2830.676,A,58.75,,52115.324,388.311,1146.637,1457.182,,369.099,Hato Rey,181.275,8.56,534.878
2005,20191231,2019,INDL,C,D,STD,BOH,USD,1286.832,40.04,368.584,225.913,770.735,A,95.16,,18095.496,299.105,118.775,368.584,,89.682,Honolulu,41.799,2.124,105.682
2019,20191231,2019,INDL,C,D,STD,BK,USD,37941,900.683,7730,4441,20007,A,50.33,,381508,4830,25273,7730,,4360,New York,3,48.4,4335
2049,20191231,2019,INDL,C,D,STD,B,USD,1270.528,50.822,244.108,158.35,1491.118,A,61.96,764.39,2738.335,93.805,846.391,244.108,342.875,,Bristol,232.706,5.749,843.04
2086,20191231,2019,INDL,C,D,STD,BAX,USD,7882,506.155,1937,1001,11362,A,83.62,7503,18193,3335,5319,1937,3230,,Deerfield,1653,50,5657
2101,20190630,2019,INDL,C,D,STD,AIT,USD,897.034,38.597,267.682,143.993,3472.739,A,66.69,1148.138,2331.697,108.219,908.85,267.682,423.794,,Cleveland,447.555,6.65,2464.416
2111,20190930,2019,INDL,C,D,STD,BDX,USD,21079,270.427,2894,1233,17290,A,271.97,6664,51765,536,18081,2894,5655,,Franklin Lakes,2579,70.093,6872
2124,20191231,2019,INDL,C,D,STD,BELFB,USD,168.051,12.273,7.942,-8.743,492.412,A,20.5,283.181,468.917,72.289,150.478,7.942,90.218,,Jersey City,107.276,6.935,365.244
2136,20191231,2019,INDL,C,D,STD,VZ,USD,61395,4135.828,30303,19265,131868,A,61.4,37473,291727,2594,119105,30303,44868,,New York,1422,135,54726
2184,20200131,2019,INDL,C,D,STD,BBY,USD,3479,256.494,2053,1541,43638,A,87.8,8857,15591,2229,3395,2053,8060,,Richfield,5174,125,32850
2220,20191231,2019,INDL,C,D,STD,BIO,USD,5755.057,29.926,255.36,1758.675,2311.659,A,370.03,2180.155,8008.859,660.672,189.597,255.36,905.495,,Hercules,554.007,8.12,929.143
2259,20191231,2019,INDL,C,D,STD,BKH,USD,2362.123,61.477,406.042,199.31,1734.9,A,78.54,473.184,7558.457,9.777,3144.281,406.042,811.294,,Rapid City,117.172,2.944,1119.738
2269,20200430,2019,INDL,C,D,STD,HRB,USD,71.041,192.475,183.083,-7.526,2639.72,A,23.48,3086.736,5112.047,2661.914,3158.439,183.083,1575.616,,Kansas City,0,80.5,1542.74
2285,20191231,2019,INDL,C,D,STD,BA,USD,-8617,562.909,5952,-636,84818,A,325.76,102229,133625,9485,20940,5952,97312,,Chicago,76622,161.1,69840
2312,20191231,2019,INDL,C,D,STD,RHI,USD,1143.683,115.12,620.39,454.433,6074.432,A,63.15,1628.849,2311.408,270.478,202.2,620.39,940.692,,Menlo Park,0,221.6,3479.649
2352,20190731,2019,INDL,C,D,STD,BRC,USD,850.774,52.997,162.428,131.258,1160.645,A,57.26,573.279,1157.308,279.072,0,162.428,241.945,,Milwaukee,120.037,6.1,558.168
2403,20191231,2019,INDL,C,D,STD,BMY,USD,51598,2251,6738,3439,26145,A,64.19,29354,129944,12346,44059,6738,18304,,New York,4293,30,6670
2436,20200131,2019,INDL,C,D,STD,CAL,USD,645.95,40.397,127.381,62.819,2921.562,A,23.75,882.299,2431.707,45.218,827.423,127.381,850.95,,Saint Louis,618.406,11.4,1662.859
2444,20191231,2019,INDL,C,D,STD,BC,USD,1300.9,79.569,494.6,-131,4108.4,A,59.98,1525.8,3564.4,320.3,1138.1,494.6,944.4,,Mettawa,824.5,12.828,2848.7
2448,20191231,2019,INDL,C,D,STD,MTRN,USD,610.677,20.404,92.309,50.66,1185.424,A,59.45,491.987,852.67,125.007,36.775,92.309,122.44,,Mayfield Heights,190.39,2.6,895.98
2497,20191231,2019,INDL,C,D,STD,MTZ,USD,1787.22,76.565,577.962,392.334,7183.188,A,64.16,2173.559,4997.006,71.427,1468.583,577.962,1219.126,,Coral Gables,100.069,21,6070.244
2504,20191231,2019,INDL,C,D,STD,UIS,USD,-1265.4,62.4,249.4,-17.2,2931.2,A,11.86,1221.3,2504,538.8,649.7,249.4,927.3,,Blue Bell,20.7,20.8,2187.7
2536,20200331,2019,INDL,C,D,STD,RAMP,USD,1087.512,65.857,-172.321,-124.511,380.572,A,48.07,896.393,1301.889,717.811,11.449,-172.321,161.382,,San Francisco,0,1.15,116.803
2547,20191231,2019,INDL,C,D,STD,CI,USD,45338,372.531,9020,5104,153699,A,204.49,29845,155774,4619,32358,9020,40138,,Bloomfield,2661,73.7,127819
2558,20191231,2019,INDL,C,D,STD,CNA,USD,12215,271.413,1174,1000,10587,A,44.81,,60612,242,2980,1174,,,Chicago,0,5.9,9345
2574,20191231,2019,INDL,C,D,STD,CSX,USD,11848,773.471,4874,3331,11937,A,72.36,3278,38257,958,16486,4874,2151,,Jacksonville,261,20.908,5714
2577,20191231,2019,INDL,C,D,STD,CTS,USD,405.219,32.472,61.4,36.146,468.999,A,30.01,237.478,643.354,100.241,124.626,61.4,96.948,,Lisle,42.237,3.57,286.805
2578,20191231,2019,INDL,C,D,STD,TLS,USD,-141.136,49.181,5.025,-6.401,159.218,A,,40.245,77.692,6.751,175.666,5.025,37.303,,Ashburn,1.965,0.73,101.902
2593,20190930,2019,INDL,C,D,STD,CBT,USD,998,57.081,351,157,3337,A,47.52,1210,3004,169,1024,351,599,,Boston,466,4.5,2495
2596,20190630,2019,INDL,C,D,STD,CACI,USD,2371.331,24.88,392.867,265.604,4986.341,A,249.99,1031.52,5086.843,72.028,1618.093,392.867,691.722,,Arlington,47.223,22.1,3307.73
2615,20200229,2019,INDL,C,D,STD,CAMP,USD,137.919,34.322,-8.234,-79.304,366.107,A,9.58,237.866,495.805,107.404,201.367,-8.234,121.475,,Irvine,36.778,1.08,203.138
2628,20191231,2019,INDL,C,D,STD,CWT,USD,779.906,48.532,115.692,63.116,714.557,A,51.56,184.712,3111.308,42.653,799.682,115.692,358.721,,San Jose,7.745,1.207,509.645
2663,20190731,2019,INDL,C,D,STD,CPB,USD,1103,301,1192,211,8107,A,49.42,1967,13148,31,7103,1192,3385,,Camden,863,19,5081
2710,20200229,2019,INDL,C,D,STD,STZ,USD,12131.8,191.128,2699,-11.8,8343.5,A,189.75,3484.1,27323.2,81.4,11694.4,2699,2311.8,,Victor,1373.6,9,3743.5
2751,20190630,2019,INDL,C,D,STD,CAH,USD,6328,299,1678,1363,145534,A,50.58,25747,40963,2531,7579,1678,24109,,Dublin,12822,49.5,138260
2771,20191231,2019,INDL,C,D,STD,CSL,USD,2642.8,55.693,673.6,472.8,4811.6,A,161.84,1752,5496,,1403.2,673.6,899,,Scottsdale,510.6,13,3224.5
2787,20190630,2019,INDL,C,D,STD,CRS,USD,1520.1,47.47,231.2,167,2380.2,A,49.78,1236.2,3187.8,27,550.6,231.2,416,,Philadelphia,787.7,5.1,1825.3
2807,20200430,2019,INDL,C,D,STD,CASY,USD,1643.205,36.806,395.467,263.846,8112.296,A,158.99,387.25,3943.892,78.275,714.502,395.467,1063.428,,Ankeny,236.007,37.153,5967.612
2817,20191231,2019,INDL,C,D,STD,CAT,USD,14588,550.083,9624,6093,53800,A,147.68,39193,78453,8284,26742,9624,26621,,Deerfield,11266,102.3,34744
2818,20200131,2019,INDL,C,D,STD,CATO,USD,316.514,24.3,37.171,35.897,825.335,A,17.4,362.797,684.976,11.824,147.184,37.171,199.302,,Charlotte,115.365,10.06,508.906
2820,20200331,2019,INDL,C,D,STD,CVCO,USD,607.586,9.173,89.907,75.066,1061.774,A,195.38,516.185,810.431,241.826,23.448,89.907,172.102,,Phoenix,113.535,5,823.373
2884,20191231,2019,INDL,C,D,STD,LUMN,USD,13470,1090.058,3780,-5269,22401,A,13.21,4768,64742,1690,33736,3780,7258,,Monroe,105,42.5,10077
2940,20191231,2019,INDL,C,D,STD,MGLN,USD,1397.783,24.623,95.657,55.902,7159.423,A,78.25,1673.043,3092.173,325.249,724.542,95.657,910.147,,Phoenix,44.962,10.1,6932.257
2942,20190731,2019,INDL,C,D,STD,CMD,USD,661.537,41.771,120.21,55.042,918.155,A,70.9,351.796,1070.366,44.535,220.851,120.21,151.4,,Little Falls,138.234,2.775,445.562
2960,20191231,2019,INDL,C,D,STD,CHE,USD,726.608,15.943,271.346,219.923,1938.555,A,439.26,190.671,1268.317,6.158,176.656,271.346,262.22,,Cincinnati,7.462,16.641,1321.126
2968,20191231,2019,INDL,C,D,STD,JPM,USD,234337,3084.021,63197,36431,142422,A,139.4,,2687379,21704,261720,63197,,26795,New York,7451,256.981,32380
2986,20191231,2019,INDL,C,D,STD,CPK,USD,561.577,16.404,104.836,65.153,479.604,A,95.83,134.826,1783.198,6.985,450.064,104.836,423.324,,Dover,15.432,0.955,329.345
2991,20191231,2019,INDL,C,D,STD,CVX,USD,144213,1882.168,100,2924,139865,A,120.51,28329,237428,5686,26299,100,26530,,San Ramon,5848,48.2,105634
3007,20190630,2019,INDL,C,D,STD,EAT,USD,-778.2,37.5,202.8,154.9,3217.9,A,42,177,1258.3,13.4,1206.6,202.8,421.6,,Dallas,23.2,56.147,2694.6
3026,20191231,2019,INDL,C,D,STD,CHD,USD,2667.8,245.416,850.5,615.9,4357.7,A,70.34,956.4,6657.4,155.7,1954.2,850.5,1092.3,,Ewing,417.4,4.8,2219.5
3028,20191231,2019,INDL,C,D,STD,CHDN,USD,508.3,39.7,233.8,137.5,1329.7,A,137.2,221.2,2551,96.2,1491.1,233.8,301.2,,Louisville,0,5.5,890.3
3036,20191231,2019,INDL,C,D,STD,CBB,USD,-269.4,50.421,92.8,-66.6,1536.7,A,10.47,403.8,2653.8,11.6,1975.8,92.8,523.5,,Cincinnati,44.6,4.4,784.6
3062,20200531,2019,INDL,C,D,STD,CTAS,USD,3235.202,103.415,1196.416,876.037,7085.12,A,269.08,2309.699,7669.885,145.402,2662.4,1196.416,885.195,,Cincinnati,1179.309,40,3636.967
3105,20191231,2019,INDL,C,D,STD,IHRT,USD,2936.318,64.553,632.428,11296.689,3683.527,A,16.9,1416.348,11021.099,400.3,6612.707,632.428,667.398,,San Antonio,0.507,11.4,1140.889
3107,20191231,2019,INDL,C,D,STD,CLF,USD,357.9,270.084,438.5,292.8,1989.9,A,8.4,897.9,3503.8,352.6,2113.8,438.5,409.4,,Cleveland,317.4,2.372,1330.1
3121,20190630,2019,INDL,C,D,STD,CLX,USD,559,125.686,1107,820,6214,A,153.54,1305,5116,,2294,1107,1440,,Oakland,512,8.8,3323
3138,20191231,2019,INDL,C,D,STD,COKE,USD,346.952,9.374,191.331,11.375,4826.549,A,284.05,830.276,3126.926,9.614,1145.088,191.331,622.195,,Charlotte,225.926,16.9,2993.536
3144,20191231,2019,INDL,C,D,STD,KO,USD,18981,4280,10541,8920,37266,A,55.35,20411,86381,6480,28627,10541,26973,,Atlanta,3379,86.2,13273
3153,20191231,2019,INDL,C,D,STD,CDE,USD,667.004,241.529,-344.81,-341.203,711.502,A,8.08,210.436,1378.636,,313.385,-344.81,190.652,,Chicago,122.078,2.155,801.995
3157,20190930,2019,INDL,C,D,STD,COHR,USD,1284.736,23.982,86.458,53.825,1430.64,A,166.35,1094.821,2083.169,305.833,392.238,86.458,240.314,,Santa Clara,442.53,5.184,841.55
3158,20191231,2019,INDL,C,D,STD,COHU,USD,483.072,41.395,-23.037,-69.7,583.329,A,22.85,439.696,1077.71,155.194,375.395,-23.037,148.885,,Poway,130.706,3.2,324.241
3170,20191231,2019,INDL,C,D,STD,CL,USD,117,854.702,3759,2367,15693,A,68.84,4179,15034,883,7824,3759,4038,,New York,1400,34.3,5900
3203,20190831,2019,INDL,C,D,STD,CCF,USD,271.227,9.401,48.46,32.711,281.351,A,118.48,134.382,307.968,47.771,0,48.46,22.44,,Westwood,42.354,0.726,162.956
3221,20191231,2019,INDL,C,D,STD,AON,USD,3375,232.1,2634,1532,11013,A,208.29,16476,29405,790,7647,2634,15571,,Dublin,0,50,7829
3226,20191231,2019,INDL,C,D,STD,CMCSA,USD,82726,4553.034,21305,13057,108942,A,44.97,25392,263414,5500,106822,21305,30292,,Philadelphia,0,190,74684
3231,20191231,2019,INDL,C,D,STD,CMA,USD,7327,142.096,1937,1198,3817,A,71.75,,73402,973,6961,1937,,468,Dallas,17,7.948,542
3238,20191231,2019,INDL,C,D,STD,CBSH,USD,2989.9,112.35,684.994,421.231,1439.114,A,67.94,,26065.789,491.615,29.442,684.994,,103.392,Kansas City,14.174,4.835,153.83
3243,20191231,2019,INDL,C,D,STD,C,USD,175262,2114.123,40431,19401,103449,A,79.89,,1951158,23967,214843,40431,,,New York,219207,200,59113
3246,20190831,2019,INDL,C,D,STD,CMC,USD,1623.861,117.925,392.49,198.093,5829.002,A,22.27,2080.005,3758.771,,1227.214,392.49,694.59,,Irving,692.368,11.524,4856.528
3278,20191231,2019,INDL,C,D,STD,CAR,USD,656,73.9,785,302,9172,A,32.24,2145,23126,686,16695,785,2225,,Parsippany,0,30,4997
3336,20200331,2019,INDL,C,D,STD,DXC,USD,4785,253.525,1002,-5369,19577,A,37.59,8987,26006,3679,9735,1002,7895,,Tysons,0,138,14901
3358,20190731,2019,INDL,C,D,STD,CMTL,USD,535.082,24.243,51.798,25.041,671.797,A,35.49,280.314,887.711,45.576,165,51.798,145.347,,Melville,74.839,2.013,412.43
3362,20200531,2019,INDL,C,D,STD,CAG,USD,7876.1,487.162,1805.6,840.1,11054.4,A,34.24,2885.9,22304,553.3,9106.9,1805.6,3287.4,,Chicago,1377.9,16.5,7562.7
3382,20191231,2019,INDL,C,D,STD,SSTK,USD,328.145,35.497,20.155,20.108,650.523,A,42.88,376.98,630.512,303.261,47.313,20.155,245.894,,New York,0,1.116,237.761
3413,20191231,2019,INDL,C,D,STD,ED,USD,18022,333,2676,1343,12574,A,90.47,4272,58079,981,19336,2676,6287,,New York,352,14.89,8214
3424,20191231,2019,INDL,C,D,STD,BH,USD,616.298,0.621,5.616,45.38,668.838,A,114.42,145.391,1139.309,67.772,316.453,5.616,139.817,,San Antonio,4.674,10.906,535.729
3429,20191231,2019,INDL,C,D,STD,CTO,USD,285.413,4.77,12.221,114.973,44.941,A,60.32,,703.286,6.475,212.583,12.221,,,Daytona Beach,6.732,0.015,7.105
3439,20191231,2019,INDL,C,D,STD,CMS,USD,5018,283.864,1239,680,6845,A,62.84,2331,26837,140,12064,1239,2704,,Jackson,605,8.789,4614
3469,20191231,2019,INDL,C,D,STD,CLR,USD,6741.667,371.074,1256.877,775.641,4631.947,A,34.3,1207.015,15727.907,39.4,5329.512,1256.877,1336.026,,Oklahoma City,109.536,1.26,1065.261
3502,20191231,2019,INDL,C,D,STD,CTB,USD,1264.625,50.203,197.448,96.404,2752.639,A,28.75,1452.98,2802.338,391.332,364.519,197.448,604.074,,Findlay,464.221,8.72,2157.879
